Cash Account,Expenditure Account, ,FYTD Appropriated,Prior Yr Enc,FYTD Expendable,FYTD Expended,MTD Expended,Encumbrance,Future Enc,FYTD Unencumbered,% Exp/Enc,Fund,Func,Function One Digit Level,Function Two Digit Level,Object,Object Level,SCC,Subject,Subject Two Digit Level,OPU,Opu One Digit Level,Job,IL
001-0000,001-2700-452-0000-000000-000-00-000,WATER/SEWAGE,38000.00,0.00,38000.00,13150.37,1849.68,24849.63,-2210.32,0.00,100,001,2700,2000,2700,452,400,0000,000000,000000,000,000,000,00
001-0000,001-2700-453-0000-000000-000-00-000,NATURAL GAS,83977.66,0.00,83977.66,34353.58,13010.11,44646.42,-10646.42,4977.66,94.0726378900,001,2700,2000,2700,453,400,0000,000000,000000,000,000,000,00
001-0000,001-2700-490-0000-000000-000-00-000,OTHER PURCHASES SERVICES,12489.05,0.00,12489.05,7177.64,652.25,3017.34,-100.00,2294.07,81.6313490600,001,2700,2000,2700,490,400,0000,000000,000000,000,000,000,00
001-0000,001-2700-516-0000-000000-000-00-000,OPERATION/MAINTENANCE SOFTWARE,1400.00,0.00,1400.00,0,0,1400.00,0,0.00,100,001,2700,2000,2700,516,500,0000,000000,000000,000,000,000,00
001-0000,001-2700-570-0000-000000-000-00-000,MAINTENANCE SUPPLIES,221201.07,6880.57,228081.64,75666.80,8351.34,71050.30,-1437.19,81364.54,64.3265718400,001,2700,2000,2700,570,500,0000,000000,000000,000,000,000,00
001-0000,001-2700-620-0000-000000-000-00-000,BUILDING IMPROVEMENTS,157273.14,23598.35,180871.49,23529.61,0,2093.16,0,155248.72,14.1662845800,001,2700,2000,2700,620,600,0000,000000,000000,000,000,000,00
001-0000,001-2700-630-0000-000000-000-00-000,IMPROVEMENTS OTHER THAN BUILDINGS,303928.31,0.00,303928.31,2027.50,0,11598.30,0,290302.51,4.4832283000,001,2700,2000,2700,630,600,0000,000000,000000,000,000,000,00
001-0000,001-2700-640-0000-000000-000-00-000,MAINTENANCE CUSTODIAL EQUIPMENT,187200.70,0.00,187200.70,27990.38,1222.19,943.61,0,158266.71,15.4561334400,001,2700,2000,2700,640,600,0000,000000,000000,000,000,000,00
001-0000,001-2700-849-0000-000000-000-00-000,CUSTODIAL DUES AND FEES,650.00,0.00,650.00,0,0,0.00,0,650.00,0,001,2700,2000,2700,849,800,0000,000000,000000,000,000,000,00
001-0000,001-2829-141-0000-000000-000-00-000,BUS DRIVER SALARIES,236854.38,0.00,236854.38,161217.53,18950.34,0.00,0,75636.85,68.0660961400,001,2829,2000,2800,141,100,0000,000000,000000,000,000,000,00
001-0000,001-2829-142-0000-000000-000-00-000,BUS DRIVER SUBSTITUTE SALARY,16177.56,0.00,16177.56,8696.46,2296.58,0.00,0,7481.10,53.7563143000,001,2829,2000,2800,142,100,0000,000000,000000,000,000,000,00
001-0000,001-2829-149-0000-000000-000-00-000,BUS DRIVER OTHER,28090.64,0.00,28090.64,16480.30,2312.50,0.00,0,11610.34,58.6682966300,001,2829,2000,2800,149,100,0000,000000,000000,000,000,000,00
001-0000,001-2829-169-0000-000000-000-00-000,BUS DRIVER OTHER,1800.00,0.00,1800.00,700.00,0,0.00,0,1100.00,38.8888888900,001,2829,2000,2800,169,100,0000,000000,000000,000,000,000,00
001-0000,001-2829-221-0000-000000-000-00-000,BUS DRIVER SERS,39312.00,0.00,39312.00,23336.00,2917.00,4565.23,0,11410.77,70.9738247900,001,2829,2000,2800,221,200,0000,000000,000000,000,000,000,00
001-0000,001-2829-251-0000-000000-000-00-000,BUS DRIVER HEALTH INSURANCE,24114.03,0.00,24114.03,5721.78,0,0.00,0,18392.25,23.7280122800,001,2829,2000,2800,251,200,0000,000000,000000,000,000,000,00
001-0000,001-2829-252-0000-000000-000-00-000,BUS DRIVER LIFE INSURANCE,66.81,0.00,66.81,36.48,4.56,0.00,0,30.33,54.6026044000,001,2829,2000,2800,252,200,0000,000000,000000,000,000,000,00
001-0000,001-2829-253-0000-000000-000-00-000,BUS DRIVER DENTAL INSURANCE,504.60,0.00,504.60,84.10,0,0.00,0,420.50,16.6666666700,001,2829,2000,2800,253,200,0000,000000,000000,000,000,000,00
001-0000,001-2829-254-0000-000000-000-00-000,BUS DRIVER VISION INSURANCE,89.64,0.00,89.64,14.94,0,0.00,0,74.70,16.6666666700,001,2829,2000,2800,254,200,0000,000000,000000,000,000,000,00
001-0000,001-2829-259-0000-000000-000-00-000,BUS DRIVER MEDICARE,3862.63,0.00,3862.63,2568.46,325.38,0.00,173.53,1294.17,66.4951082600,001,2829,2000,2800,259,200,0000,000000,000000,000,000,000,00
001-0000,001-2829-434-0000-000000-000-00-000,CLASSIFIED MEETING EXPENSE,108.78,0.00,108.78,85.02,0,0.00,0,23.76,78.1577495900,001,2829,2000,2800,434,400,0000,000000,000000,000,000,000,00
001-0000,001-2829-499-0000-000000-000-00-000,BUS DRIVER DRUG TESTING/CERTIFICATION,2620.07,0.00,2620.07,789.00,98.00,1561.00,0,270.07,89.6922601300,001,2829,2000,2800,499,400,0000,000000,000000,000,000,000,00
001-0000,001-2829-517-0000-000000-000-00-000,TRANSPORTATION SOFTWARE,6340.00,0.00,6340.00,0,0,0.00,0,6340.00,0,001,2829,2000,2800,517,500,0000,000000,000000,000,000,000,00
